Team,Games,Win-Loss,Opp Rush Attempts,Opp Rush Yards Alloweed,Yds/Rush Allowed,Opp Rush Touchdowns Allowed,Rush Yards Per Game Allowed
Michigan St. (Big Ten),13,11-2,363,1150,3.17,18,88.5
Boston College (ACC),13,7-6,399,1228,3.08,14,94.5
Penn St. (Big Ten),13,7-6,443,1306,2.95,14,100.5
Alabama (SEC),14,12-2,452,1434,3.17,5,102.4
Clemson (ACC),13,10-3,453,1344,2.97,11,103.4
UCF (AAC),13,9-4,428,1356,3.17,10,104.3
Stanford (Pac-12),13,8-5,443,1358,3.07,12,104.5
Oklahoma (Big 12),13,8-5,458,1383,3.02,15,106.4
TCU (Big 12),13,12-1,508,1414,2.78,9,108.8
Louisville (ACC),13,9-4,435,1416,3.26,12,108.9
East Carolina (AAC),13,8-5,437,1453,3.32,16,111.8
Arkansas (SEC),13,7-6,429,1490,3.47,11,114.6
Florida (SEC),12,7-5,440,1394,3.17,10,116.2
Toledo (MAC),13,9-4,431,1511,3.51,13,116.2
Michigan (Big Ten),12,5-7,440,1412,3.21,13,117.7
Baylor (Big 12),13,11-2,485,1530,3.15,17,117.7
Louisiana Tech (C-USA),14,9-5,500,1655,3.31,19,118.2
Virginia (ACC),12,5-7,431,1448,3.36,11,120.7
Memphis (AAC),13,10-3,465,1580,3.40,16,121.5
BYU (FBS Independent),13,8-5,483,1584,3.28,19,121.8
Central Mich. (MAC),13,7-6,426,1598,3.75,15,122.9
Washington (Pac-12),14,8-6,529,1737,3.28,14,124.1
Wisconsin (Big Ten),14,11-3,492,1765,3.59,19,126.1
Utah St. (Mountain West),14,10-4,558,1830,3.28,16,130.7
Ohio (MAC),12,6-6,414,1595,3.85,13,132.9
Southern California (Pac-12),13,9-4,453,1734,3.83,20,133.4
Missouri (SEC),14,11-3,531,1872,3.53,18,133.7
Air Force (Mountain West),13,10-3,461,1763,3.82,17,135.6
Ole Miss (),13,9-4,513,1780,3.47,9,136.9
Miami (FL) (ACC),13,6-7,498,1782,3.58,21,137.1
Syracuse (ACC),12,3-9,493,1671,3.39,9,139.3
UTSA (C-USA),12,4-8,471,1682,3.57,14,140.2
Kansas St. (Big 12),13,9-4,440,1824,4.15,17,140.3
Ohio St. (Big Ten),15,14-1,537,2120,3.95,24,141.3
Louisiana (Sun Belt),13,9-4,455,1849,4.06,21,142.2
Boise St. (Mountain West),14,12-2,516,1996,3.87,24,142.6
Houston (AAC),13,8-5,503,1863,3.70,18,143.3
California (Pac-12),12,5-7,436,1735,3.98,19,144.6
Virginia Tech (ACC),13,7-6,484,1882,3.89,15,144.8
Washington St. (Pac-12),12,3-9,430,1748,4.07,18,145.7
Utah (Pac-12),13,9-4,507,1909,3.77,12,146.8
UCLA (Pac-12),13,10-3,505,1923,3.81,19,147.9
Akron (MAC),12,5-7,457,1783,3.90,14,148.6
Mississippi St. (SEC),13,10-3,471,1970,4.18,17,151.5
Rice (C-USA),13,8-5,460,1983,4.31,19,152.5
LSU (SEC),13,8-5,460,1985,4.32,16,152.7
Western Mich. (MAC),13,8-5,470,1996,4.25,19,153.5
San Diego St. (Mountain West),13,7-6,522,2001,3.83,22,153.9
Arizona St. (Pac-12),13,10-3,511,2046,4.00,17,157.4
Tulane (AAC),12,3-9,447,1895,4.24,16,157.9
Oregon St. (Pac-12),12,5-7,412,1898,4.61,24,158.2
Temple (AAC),12,6-6,509,1922,3.78,12,160.2
Marshall (C-USA),14,13-1,590,2243,3.80,15,160.2
FIU (C-USA),12,4-8,474,1925,4.06,18,160.4
Pittsburgh (),13,6-7,465,2091,4.50,26,160.8
North Texas (C-USA),12,4-8,447,1941,4.34,22,161.8
Oklahoma St. (Big 12),13,7-6,517,2117,4.09,24,162.8
NIU (MAC),14,11-3,541,2284,4.22,24,163.1
Texas (Big 12),13,6-7,549,2136,3.89,17,164.3
Oregon (Pac-12),15,13-2,587,2481,4.23,22,165.4
Georgia (SEC),13,10-3,526,2169,4.12,23,166.8
Georgia Tech (ACC),14,11-3,463,2346,5.07,24,167.6
West Virginia (Big 12),13,7-6,502,2186,4.35,20,168.2
Iowa (Big Ten),13,7-6,495,2188,4.42,19,168.3
NC State (ACC),13,8-5,521,2189,4.20,21,168.4
Tennessee (SEC),13,7-6,515,2189,4.25,23,168.4
Auburn (SEC),13,8-5,493,2194,4.45,22,168.8
Arizona (Pac-12),14,10-4,581,2377,4.09,19,169.8
UConn (AAC),12,2-10,482,2038,4.23,18,169.8
Northwestern (Big Ten),12,5-7,481,2039,4.24,18,169.9
Florida St. (ACC),14,13-1,573,2382,4.16,21,170.1
Notre Dame (FBS Independent),13,8-5,525,2225,4.24,21,171.2
Hawaii (Mountain West),13,4-9,537,2240,4.17,19,172.3
Minnesota (Big Ten),13,8-5,476,2271,4.77,18,174.7
UAB (C-USA),12,6-6,474,2101,4.43,18,175.1
Buffalo (MAC),11,5-6,451,1927,4.27,29,175.2
UTEP (C-USA),13,7-6,439,2299,5.24,26,176.8
Nebraska (Big Ten),13,9-4,488,2312,4.74,25,177.8
Nevada (Mountain West),13,7-6,488,2333,4.78,17,179.5
Middle Tenn. (C-USA),12,6-6,505,2191,4.34,19,182.6
Wake Forest (ACC),12,3-9,501,2192,4.38,20,182.7
Indiana (Big Ten),12,4-8,450,2192,4.87,22,182.7
South Fla. (AAC),12,4-8,487,2195,4.51,22,182.9
ULM (Sun Belt),12,4-8,507,2200,4.34,22,183.3
Cincinnati (AAC),13,9-4,501,2388,4.77,18,183.7
Vanderbilt (SEC),12,3-9,498,2205,4.43,23,183.8
South Alabama (Sun Belt),13,6-7,541,2419,4.47,22,186.1
Ball St. (MAC),12,5-7,475,2293,4.83,24,191.1
Kentucky (SEC),12,5-7,511,2294,4.49,20,191.2
Massachusetts (MAC),12,3-9,492,2301,4.68,23,191.8
Purdue (Big Ten),12,3-9,504,2305,4.57,27,192.1
Duke (ACC),13,9-4,564,2508,4.45,19,192.9
Army West Point (FBS Independent),12,4-8,436,2316,5.31,19,193.0
Navy (FBS Independent),13,8-5,522,2582,4.95,18,198.6
Miami (OH) (MAC),12,2-10,472,2399,5.08,24,199.9
Colorado St. (Mountain West),13,10-3,529,2610,4.93,27,200.8
Maryland (Big Ten),13,7-6,584,2625,4.49,24,201.9
Fresno St. (Mountain West),14,6-8,615,2827,4.60,24,201.9
Bowling Green (MAC),14,8-6,568,2830,4.98,37,202.1
Texas St. (Sun Belt),12,7-5,522,2434,4.66,21,202.8
Wyoming (Mountain West),12,4-8,465,2436,5.24,24,203.0
Colorado (Pac-12),12,2-10,437,2458,5.62,21,204.8
Arkansas St. (Sun Belt),13,7-6,565,2668,4.72,34,205.2
Kansas (Big 12),12,3-9,466,2516,5.40,22,209.7
South Carolina (SEC),13,7-6,514,2759,5.37,29,212.2
Rutgers (Big Ten),13,8-5,499,2760,5.53,32,212.3
Kent St. (MAC),11,2-9,492,2354,4.78,19,214.0
Tulsa (AAC),12,2-10,467,2576,5.52,30,214.7
Texas A&M (SEC),13,8-5,561,2808,5.01,23,216.0
Southern Miss. (C-USA),12,3-9,482,2596,5.39,28,216.3
Western Ky. (C-USA),13,8-5,576,2870,4.98,33,220.8
Fla. Atlantic (C-USA),12,3-9,483,2665,5.52,34,222.1
Eastern Mich. (MAC),12,2-10,513,2687,5.24,34,223.9
SMU (AAC),12,1-11,541,2829,5.23,32,235.8
Illinois (Big Ten),13,6-7,617,3109,5.04,31,239.2
San Jose St. (Mountain West),12,3-9,536,2873,5.36,35,239.4
North Carolina (ACC),13,6-7,599,3126,5.22,33,240.5
Troy (Sun Belt),12,3-9,521,2953,5.67,35,246.1
Idaho (Sun Belt),11,1-10,482,2708,5.62,32,246.2
Iowa St. (Big 12),12,2-10,521,2955,5.67,35,246.3
Texas Tech (Big 12),12,4-8,600,3114,5.19,36,259.5
New Mexico (Mountain West),12,4-8,554,3228,5.83,40,269.0
UNLV (Mountain West),13,2-11,677,3820,5.64,37,293.8
Georgia St. (Sun Belt),12,1-11,582,3641,6.26,41,303.4
New Mexico St. (Sun Belt),12,2-10,594,3719,6.26,40,309.9
App State (Sun Belt),12,7-5,430,1828,4.25,21,152.3
Ga. Southern (Sun Belt),12,9-3,432,1844,4.27,19,153.7
Charlotte (FBS Independent),11,5-6,506,2126,4.20,24,193.3
Old Dominion (C-USA),12,6-6,552,2670,4.84,30,222.5
