Team,Games,Win-Loss,Rush Attempts,Rush Yds,Yards/Rush,Rushing TD,Rushing Yards per Game
Georgia Tech (ACC),14,11-3,790,4789,6.06,47,342.1
Navy (FBS Independent),13,8-5,727,4395,6.05,45,338.1
Wisconsin (Big Ten),14,11-3,648,4482,6.92,46,320.1
New Mexico (Mountain West),12,4-8,586,3725,6.36,34,310.4
Army West Point (FBS Independent),12,4-8,665,3558,5.35,33,296.5
Air Force (Mountain West),13,10-3,796,3550,4.46,34,273.1
Marshall (C-USA),14,13-1,559,3807,6.81,40,271.9
Ohio St. (Big Ten),15,14-1,690,3967,5.75,41,264.5
Indiana (Big Ten),12,4-8,539,3163,5.87,29,263.6
Oklahoma (Big 12),13,8-5,557,3395,6.10,40,261.2
Georgia (SEC),13,10-3,555,3352,6.04,38,257.8
Toledo (MAC),13,9-4,576,3333,5.79,35,256.4
Auburn (SEC),13,8-5,607,3321,5.47,32,255.5
Boston College (ACC),13,7-6,635,3311,5.21,31,254.7
Pittsburgh (),13,6-7,610,3243,5.32,35,249.5
NIU (MAC),14,11-3,688,3488,5.07,36,249.1
Nebraska (Big Ten),13,9-4,587,3123,5.32,35,240.2
Texas St. (Sun Belt),12,7-5,538,2862,5.32,29,238.5
Michigan St. (Big Ten),13,11-2,594,3057,5.15,44,235.2
Oregon (Pac-12),15,13-2,644,3518,5.46,42,234.5
Mississippi St. (SEC),13,10-3,578,3030,5.24,29,233.1
Louisiana (Sun Belt),13,9-4,548,2937,5.36,31,225.9
LSU (SEC),13,8-5,621,2919,4.70,25,224.5
Arkansas (SEC),13,7-6,557,2834,5.09,31,218.0
Arkansas St. (Sun Belt),13,7-6,576,2813,4.88,35,216.4
San Diego St. (Mountain West),13,7-6,517,2809,5.43,26,216.1
Baylor (Big 12),13,11-2,619,2802,4.53,43,215.5
Minnesota (Big Ten),13,8-5,599,2801,4.68,32,215.5
Boise St. (Mountain West),14,12-2,609,2994,4.92,39,213.9
Middle Tenn. (C-USA),12,6-6,530,2566,4.84,31,213.8
UAB (C-USA),12,6-6,613,2545,4.15,27,212.1
UCLA (Pac-12),13,10-3,557,2724,4.89,26,209.5
UTEP (C-USA),13,7-6,573,2701,4.71,27,207.8
TCU (Big 12),13,12-1,509,2689,5.28,32,206.8
Alabama (SEC),14,12-2,567,2893,5.10,35,206.6
Nevada (Mountain West),13,7-6,560,2671,4.77,27,205.5
NC State (ACC),13,8-5,508,2659,5.23,26,204.5
Memphis (AAC),13,10-3,594,2476,4.17,31,190.5
Utah (Pac-12),13,9-4,565,2475,4.38,21,190.4
Washington (Pac-12),14,8-6,607,2640,4.35,23,188.6
Florida (SEC),12,7-5,517,2252,4.36,22,187.7
Houston (AAC),13,8-5,495,2390,4.83,28,183.8
West Virginia (Big 12),13,7-6,563,2376,4.22,18,182.8
Fresno St. (Mountain West),14,6-8,566,2553,4.51,22,182.4
Arizona (Pac-12),14,10-4,575,2546,4.43,26,181.9
Duke (ACC),13,9-4,492,2364,4.80,24,181.8
BYU (FBS Independent),13,8-5,567,2363,4.17,28,181.8
Miami (FL) (ACC),13,6-7,446,2345,5.26,19,180.4
Utah St. (Mountain West),14,10-4,512,2521,4.92,22,180.1
New Mexico St. (Sun Belt),12,2-10,469,2152,4.59,19,179.3
South Alabama (Sun Belt),13,6-7,537,2327,4.33,16,179.0
Buffalo (MAC),11,5-6,443,1965,4.44,16,178.6
Missouri (SEC),14,11-3,539,2490,4.62,17,177.9
Bowling Green (MAC),14,8-6,556,2422,4.36,30,173.0
Western Mich. (MAC),13,8-5,503,2221,4.42,29,170.8
Arizona St. (Pac-12),13,10-3,508,2194,4.32,20,168.8
Rice (C-USA),13,8-5,571,2181,3.82,22,167.8
Troy (Sun Belt),12,3-9,460,1974,4.29,18,164.5
Ohio (MAC),12,6-6,470,1969,4.19,16,164.1
Fla. Atlantic (C-USA),12,3-9,443,1963,4.43,14,163.6
Iowa (Big Ten),13,7-6,514,2120,4.12,22,163.1
Michigan (Big Ten),12,5-7,425,1954,4.60,17,162.8
Rutgers (Big Ten),13,8-5,489,2114,4.32,21,162.6
East Carolina (AAC),13,8-5,433,2094,4.84,28,161.1
South Carolina (SEC),13,7-6,479,2093,4.37,23,161.0
Southern California (Pac-12),13,9-4,524,2092,3.99,18,160.9
Western Ky. (C-USA),13,8-5,429,2084,4.86,21,160.3
Notre Dame (FBS Independent),13,8-5,484,2073,4.28,24,159.5
Colorado St. (Mountain West),13,10-3,435,2071,4.76,24,159.3
Stanford (Pac-12),13,8-5,477,2064,4.33,22,158.8
Purdue (Big Ten),12,3-9,402,1886,4.69,17,157.2
Cincinnati (AAC),13,9-4,454,2035,4.48,18,156.5
Ole Miss (),13,9-4,476,2021,4.25,21,155.5
Central Mich. (MAC),13,7-6,504,2018,4.00,19,155.2
Colorado (Pac-12),12,2-10,451,1855,4.11,13,154.6
Ball St. (MAC),12,5-7,448,1841,4.11,16,153.4
Wyoming (Mountain West),12,4-8,448,1838,4.10,17,153.2
North Texas (C-USA),12,4-8,472,1838,3.89,21,153.2
Kentucky (SEC),12,5-7,444,1838,4.14,21,153.2
Texas Tech (Big 12),12,4-8,355,1836,5.17,8,153.0
North Carolina (ACC),13,6-7,496,1968,3.97,26,151.4
Texas A&M (SEC),13,8-5,421,1949,4.63,20,149.9
Hawaii (Mountain West),13,4-9,524,1943,3.71,15,149.5
California (Pac-12),12,5-7,440,1790,4.07,22,149.2
Louisiana Tech (C-USA),14,9-5,490,2080,4.24,32,148.6
Virginia Tech (ACC),13,7-6,507,1923,3.79,12,147.9
Tulsa (AAC),12,2-10,477,1774,3.72,11,147.8
Clemson (ACC),13,10-3,539,1904,3.53,20,146.5
Tennessee (SEC),13,7-6,524,1903,3.63,20,146.4
Syracuse (ACC),12,3-9,424,1750,4.13,12,145.8
Tulane (AAC),12,3-9,419,1746,4.17,11,145.5
Louisville (ACC),13,9-4,511,1855,3.63,28,142.7
Idaho (Sun Belt),11,1-10,439,1561,3.56,22,141.9
San Jose St. (Mountain West),12,3-9,454,1696,3.74,11,141.3
Florida St. (ACC),14,13-1,451,1933,4.29,27,138.1
Eastern Mich. (MAC),12,2-10,459,1654,3.60,9,137.8
Virginia (ACC),12,5-7,451,1653,3.67,13,137.8
Texas (Big 12),13,6-7,474,1786,3.77,18,137.4
Oklahoma St. (Big 12),13,7-6,506,1776,3.51,18,136.6
Northwestern (Big Ten),12,5-7,486,1639,3.37,20,136.6
Kansas St. (Big 12),13,9-4,476,1745,3.67,30,134.2
UNLV (Mountain West),13,2-11,466,1679,3.60,18,129.2
UCF (AAC),13,9-4,526,1668,3.17,19,128.3
FIU (C-USA),12,4-8,488,1502,3.08,11,125.2
Iowa St. (Big 12),12,2-10,402,1489,3.70,12,124.1
Akron (MAC),12,5-7,363,1484,4.09,18,123.7
UTSA (C-USA),12,4-8,440,1466,3.33,15,122.2
Maryland (Big Ten),13,7-6,428,1584,3.70,21,121.8
Kansas (Big 12),12,3-9,466,1454,3.12,11,121.2
Oregon St. (Pac-12),12,5-7,376,1417,3.77,19,118.1
Illinois (Big Ten),13,6-7,413,1527,3.70,16,117.5
Massachusetts (MAC),12,3-9,387,1312,3.39,16,109.3
Vanderbilt (SEC),12,3-9,383,1311,3.42,7,109.3
South Fla. (AAC),12,4-8,376,1295,3.44,11,107.9
Temple (AAC),12,6-6,369,1293,3.50,11,107.8
UConn (AAC),12,2-10,396,1283,3.24,8,106.9
Penn St. (Big Ten),13,7-6,451,1325,2.94,13,101.9
SMU (AAC),12,1-11,362,1204,3.33,9,100.3
Miami (OH) (MAC),12,2-10,358,1171,3.27,11,97.6
Georgia St. (Sun Belt),12,1-11,390,1156,2.96,13,96.3
Southern Miss. (C-USA),12,3-9,376,1149,3.06,9,95.8
Kent St. (MAC),11,2-9,277,900,3.25,6,81.8
ULM (Sun Belt),12,4-8,363,834,2.30,9,69.5
Wake Forest (ACC),12,3-9,383,479,1.25,4,39.9
Washington St. (Pac-12),12,3-9,243,478,1.97,5,39.8
Ga. Southern (Sun Belt),12,9-3,642,4573,7.12,55,381.1
App State (Sun Belt),12,7-5,537,2901,5.40,33,241.8
Charlotte (FBS Independent),11,5-6,441,2441,5.54,30,221.9
Old Dominion (C-USA),12,6-6,365,1793,4.91,22,149.4
