Team,Games,Win-Loss,3rd Attempts,3rd Conversions,3rd Percent
Navy (AAC),14,9-5,167,91,0.545
Western Mich. (MAC),14,13-1,188,101,0.537
Texas Tech (Big 12),12,5-7,195,101,0.518
Oklahoma (Big 12),13,11-2,169,87,0.515
Toledo (MAC),13,9-4,182,93,0.511
Air Force (Mountain West),13,10-3,196,99,0.505
Louisiana Tech (C-USA),14,9-5,155,78,0.503
Clemson (ACC),15,14-1,233,117,0.502
Nevada (Mountain West),12,5-7,166,81,0.488
Army West Point (FBS Independent),13,8-5,172,83,0.483
Southern California (Pac-12),13,10-3,178,85,0.478
BYU (FBS Independent),13,9-4,195,93,0.477
Boise St. (Mountain West),13,10-3,166,79,0.476
Houston (AAC),13,9-4,231,109,0.472
Washington St. (Pac-12),13,8-5,191,90,0.471
Eastern Mich. (MAC),13,7-6,203,95,0.468
Ohio St. (Big Ten),13,11-2,199,93,0.467
Western Ky. (C-USA),14,11-3,167,78,0.467
Tulsa (AAC),13,10-3,210,97,0.462
New Mexico (Mountain West),13,9-4,172,79,0.459
North Carolina (ACC),13,8-5,165,75,0.455
Kansas St. (Big 12),13,9-4,174,79,0.454
Pittsburgh (ACC),13,8-5,174,79,0.454
Ball St. (MAC),12,4-8,195,88,0.451
Purdue (Big Ten),12,3-9,202,91,0.450
Middle Tenn. (C-USA),13,8-5,184,82,0.446
South Fla. (AAC),13,11-2,189,84,0.444
Ga. Southern (Sun Belt),12,5-7,185,82,0.443
Colorado (Pac-12),14,10-4,235,104,0.443
Washington (Pac-12),14,12-2,170,75,0.441
Wisconsin (Big Ten),14,11-3,204,90,0.441
UTSA (C-USA),13,6-7,207,91,0.440
Nebraska (Big Ten),13,9-4,196,86,0.439
Florida St. (ACC),13,10-3,169,74,0.438
NC State (ACC),13,7-6,192,84,0.438
Alabama (SEC),15,14-1,208,91,0.438
Wyoming (Mountain West),14,8-6,202,88,0.436
LSU (SEC),12,8-4,152,66,0.434
SMU (AAC),12,5-7,208,90,0.433
Michigan (Big Ten),13,10-3,183,79,0.432
Oklahoma St. (Big 12),13,10-3,179,77,0.430
Duke (ACC),12,4-8,186,80,0.430
Missouri (SEC),12,4-8,193,83,0.430
Iowa St. (Big 12),12,3-9,177,76,0.429
West Virginia (Big 12),13,10-3,187,80,0.428
Virginia Tech (ACC),14,10-4,212,90,0.425
Colorado St. (Mountain West),13,7-6,172,73,0.424
ULM (Sun Belt),12,4-8,191,81,0.424
Baylor (Big 12),13,7-6,222,94,0.423
Stanford (Pac-12),13,10-3,178,75,0.421
UTEP (C-USA),12,4-8,153,64,0.418
Georgia Tech (ACC),13,9-4,153,64,0.418
Auburn (SEC),13,8-5,182,76,0.418
Georgia (SEC),13,8-5,194,81,0.418
Florida (SEC),13,9-4,192,80,0.417
Temple (AAC),14,10-4,190,79,0.416
Central Mich. (MAC),13,6-7,183,76,0.415
NIU (MAC),12,5-7,203,84,0.414
Tennessee (SEC),13,9-4,175,72,0.411
Louisville (ACC),13,9-4,180,74,0.411
Southern Miss. (C-USA),13,7-6,203,83,0.409
Memphis (AAC),13,8-5,194,79,0.407
Mississippi St. (SEC),13,6-7,192,78,0.406
TCU (Big 12),13,6-7,197,80,0.406
Notre Dame (FBS Independent),12,4-8,168,68,0.405
San Diego St. (Mountain West),14,11-3,171,69,0.404
San Jose St. (Mountain West),12,4-8,176,71,0.403
Ole Miss (SEC),12,5-7,169,68,0.402
Indiana (Big Ten),13,6-7,203,81,0.399
Utah St. (Mountain West),12,3-9,176,70,0.398
Arkansas (SEC),13,7-6,176,70,0.398
East Carolina (AAC),12,3-9,194,77,0.397
Syracuse (ACC),12,4-8,212,84,0.396
Idaho (Sun Belt),13,9-4,182,72,0.396
Northwestern (Big Ten),13,7-6,195,77,0.395
Texas A&M (SEC),13,8-5,194,76,0.392
Kentucky (SEC),13,7-6,184,72,0.391
California (Pac-12),12,5-7,202,79,0.391
Oregon (Pac-12),12,4-8,169,66,0.391
Michigan St. (Big Ten),12,3-9,173,67,0.387
South Alabama (Sun Belt),13,6-7,173,67,0.387
Minnesota (Big Ten),13,9-4,190,73,0.384
Utah (Pac-12),13,9-4,193,74,0.383
Georgia St. (Sun Belt),12,3-9,170,65,0.382
Arizona St. (Pac-12),12,5-7,194,74,0.381
Fresno St. (Mountain West),12,1-11,200,76,0.380
Cincinnati (AAC),12,4-8,182,69,0.379
Miami (OH) (MAC),13,6-7,164,62,0.378
UNLV (Mountain West),12,4-8,172,65,0.378
Ohio (MAC),14,8-6,212,80,0.377
Louisiana (Sun Belt),13,6-7,198,74,0.374
Akron (MAC),12,5-7,158,59,0.373
Oregon St. (Pac-12),12,4-8,172,64,0.372
Old Dominion (C-USA),13,10-3,172,64,0.372
Troy (Sun Belt),13,10-3,192,71,0.370
Rice (C-USA),12,3-9,182,67,0.368
Buffalo (MAC),12,2-10,181,66,0.365
Arizona (Pac-12),12,3-9,157,57,0.363
Miami (FL) (ACC),13,9-4,171,62,0.363
Texas (Big 12),12,5-7,194,70,0.361
FIU (C-USA),12,4-8,170,61,0.359
Vanderbilt (SEC),13,6-7,183,65,0.355
UCLA (Pac-12),12,4-8,176,62,0.352
Hawaii (Mountain West),14,7-7,182,64,0.352
North Texas (C-USA),13,5-8,181,63,0.348
Wake Forest (ACC),13,7-6,204,71,0.348
Virginia (ACC),12,2-10,182,63,0.346
Maryland (Big Ten),13,6-7,181,62,0.343
South Carolina (SEC),13,6-7,184,63,0.342
Marshall (C-USA),12,3-9,173,59,0.341
New Mexico St. (Sun Belt),12,3-9,189,64,0.339
Fla. Atlantic (C-USA),12,3-9,169,57,0.337
App State (Sun Belt),13,10-3,175,59,0.337
UConn (AAC),12,3-9,181,61,0.337
Kent St. (MAC),12,3-9,181,60,0.331
Kansas (Big 12),12,2-10,182,60,0.330
Penn St. (Big Ten),14,11-3,172,56,0.326
Massachusetts (FBS Independent),12,2-10,160,52,0.325
Charlotte (C-USA),12,4-8,195,63,0.323
Iowa (Big Ten),13,8-5,157,50,0.318
Boston College (ACC),13,7-6,210,66,0.314
Texas St. (Sun Belt),12,2-10,187,58,0.310
Rutgers (Big Ten),12,2-10,195,60,0.308
Bowling Green (MAC),12,4-8,179,55,0.307
UCF (AAC),13,6-7,212,63,0.297
Arkansas St. (Sun Belt),13,8-5,187,55,0.294
Illinois (Big Ten),12,3-9,155,44,0.284
Tulane (AAC),12,4-8,187,52,0.278
Coastal Carolina (FBS Independent),12,10-2,149,70,0.470
