Team,Games,Win-Loss,Off Plays,Off Yards,Off Yards/Play,Off TDs,Off Yards per Game
Oklahoma (Big 12),14,12-2,928,7984,8.60,85,570.3
Ohio St. (Big Ten),14,13-1,1131,7498,6.63,74,535.6
Clemson (ACC),15,15-0,1076,7908,7.35,86,527.2
Memphis (AAC),14,8-6,1028,7324,7.12,76,523.1
UCF (AAC),13,12-1,986,6795,6.89,72,522.7
Alabama (SEC),15,14-1,1009,7830,7.76,85,522.0
Houston (AAC),13,8-5,1010,6663,6.60,74,512.5
West Virginia (Big 12),12,8-4,870,6147,7.07,60,512.3
Ole Miss (SEC),12,5-7,860,6126,7.12,45,510.5
Oklahoma St. (Big 12),13,7-6,1011,6502,6.43,63,500.2
Utah St. (Mountain West),13,11-2,945,6466,6.84,69,497.4
Texas Tech (Big 12),12,5-7,972,5822,5.99,54,485.2
Missouri (SEC),13,8-5,1004,6263,6.24,55,481.8
Fla. Atlantic (C-USA),12,5-7,930,5746,6.18,49,478.8
Texas A&M (SEC),13,9-4,980,6131,6.26,53,471.6
Ohio (MAC),13,9-4,867,6068,7.00,65,466.8
Arkansas St. (Sun Belt),13,8-5,980,6061,6.18,46,466.2
Georgia (SEC),14,11-3,923,6508,7.05,64,464.9
Syracuse (ACC),13,10-3,1063,6042,5.68,60,464.8
North Texas (C-USA),13,9-4,966,5987,6.20,53,460.5
Boise St. (Mountain West),13,10-3,979,5974,6.10,55,459.5
Baylor (Big 12),13,7-6,988,5968,6.04,47,459.1
Cincinnati (AAC),13,11-2,974,5960,6.12,60,458.5
Arizona (Pac-12),12,5-7,881,5492,6.23,43,457.7
Nebraska (Big Ten),12,4-8,868,5474,6.31,44,456.2
NC State (ACC),13,9-4,979,5929,6.06,52,456.1
Washington St. (Pac-12),13,11-2,958,5869,6.13,63,451.5
Wake Forest (ACC),13,7-6,1067,5847,5.48,46,449.8
Purdue (Big Ten),13,6-7,909,5771,6.35,48,443.9
Toledo (MAC),13,7-6,927,5770,6.22,62,443.8
North Carolina (ACC),11,2-9,817,4863,5.95,33,442.1
Notre Dame (FBS Independent),13,12-1,954,5721,6.00,50,440.1
South Fla. (AAC),13,7-6,949,5690,6.00,43,437.7
Massachusetts (FBS Independent),12,4-8,821,5251,6.40,49,437.6
Western Mich. (MAC),13,7-6,962,5679,5.90,52,436.8
Wisconsin (Big Ten),13,8-5,875,5604,6.40,51,431.1
App State (Sun Belt),13,11-2,859,5603,6.52,58,431.0
Nevada (Mountain West),13,8-5,929,5600,6.03,49,430.8
Virginia Tech (ACC),13,6-7,949,5566,5.87,48,428.2
Old Dominion (C-USA),12,4-8,905,5133,5.67,45,427.8
Oregon (Pac-12),13,9-4,947,5554,5.86,57,427.2
Florida (SEC),13,10-3,890,5547,6.23,51,426.7
South Carolina (SEC),13,7-6,887,5533,6.24,47,425.6
Louisiana (Sun Belt),14,7-7,901,5940,6.59,58,424.3
Penn St. (Big Ten),13,9-4,900,5499,6.11,55,423.0
FIU (C-USA),13,9-4,859,5480,6.38,54,421.5
Fresno St. (Mountain West),14,12-2,941,5901,6.27,57,421.5
Hawaii (Mountain West),14,8-6,963,5878,6.10,54,419.9
Michigan (Big Ten),13,10-3,896,5453,6.09,50,419.5
Arizona St. (Pac-12),13,7-6,899,5417,6.03,46,416.7
Indiana (Big Ten),12,5-7,909,4982,5.48,37,415.2
Air Force (Mountain West),12,5-7,882,4978,5.64,43,414.8
ULM (Sun Belt),12,6-6,801,4978,6.21,39,414.8
Washington (Pac-12),14,10-4,969,5805,5.99,45,414.6
Buffalo (MAC),14,10-4,1004,5803,5.78,64,414.5
East Carolina (AAC),12,3-9,995,4973,5.00,31,414.4
Texas (Big 12),14,10-4,1045,5758,5.51,52,411.3
Vanderbilt (SEC),13,6-7,850,5346,6.29,46,411.2
Colorado St. (Mountain West),12,3-9,893,4926,5.52,34,410.5
Temple (AAC),13,8-5,937,5324,5.68,48,409.5
Georgia Tech (ACC),13,7-6,871,5314,6.10,53,408.8
Illinois (Big Ten),12,4-8,822,4904,5.97,35,408.7
Ball St. (MAC),12,4-8,924,4903,5.31,37,408.6
UAB (C-USA),14,11-3,963,5680,5.90,50,405.7
Duke (ACC),13,8-5,956,5274,5.52,50,405.7
Oregon St. (Pac-12),12,2-10,915,4857,5.31,40,404.8
Boston College (ACC),12,7-5,895,4852,5.42,48,404.3
LSU (SEC),13,10-3,950,5227,5.50,46,402.1
Tulane (AAC),13,7-6,904,5214,5.77,44,401.1
Mississippi St. (SEC),13,8-5,837,5166,6.17,48,397.4
Utah (Pac-12),14,9-5,971,5541,5.71,42,395.8
Marshall (C-USA),13,9-4,908,5117,5.64,42,393.6
Middle Tenn. (C-USA),14,8-6,992,5507,5.55,44,393.4
UCLA (Pac-12),12,3-9,854,4711,5.52,33,392.6
Colorado (Pac-12),12,5-7,872,4711,5.40,40,392.6
Army West Point (FBS Independent),13,11-2,922,5103,5.53,54,392.5
UNLV (Mountain West),12,4-8,892,4694,5.26,47,391.2
Auburn (SEC),13,8-5,894,5069,5.67,46,389.9
Troy (Sun Belt),13,10-3,857,5062,5.91,46,389.4
SMU (AAC),12,5-7,869,4646,5.35,45,387.2
Virginia (ACC),13,8-5,857,5003,5.84,45,384.8
Kent St. (MAC),12,2-10,914,4603,5.04,34,383.6
Southern California (Pac-12),12,5-7,794,4591,5.78,35,382.6
Louisiana Tech (C-USA),13,8-5,915,4967,5.43,38,382.1
Stanford (Pac-12),13,9-4,808,4953,6.13,45,381.0
Minnesota (Big Ten),13,7-6,870,4935,5.67,43,379.6
Coastal Carolina (Sun Belt),12,5-7,780,4552,5.84,40,379.3
UConn (AAC),12,1-11,851,4541,5.34,36,378.4
Georgia St. (Sun Belt),12,2-10,815,4538,5.57,36,378.2
Tulsa (AAC),12,3-9,899,4531,5.04,36,377.6
Iowa (Big Ten),13,9-4,896,4875,5.44,46,375.0
Eastern Mich. (MAC),13,7-6,880,4837,5.50,44,372.1
Miami (OH) (MAC),12,6-6,818,4464,5.46,42,372.0
Maryland (Big Ten),12,5-7,728,4457,6.12,38,371.4
Iowa St. (Big 12),13,8-5,829,4823,5.82,40,371.0
New Mexico St. (FBS Independent),12,3-9,891,4446,4.99,30,370.5
Pittsburgh (ACC),14,7-7,887,5176,5.84,42,369.7
TCU (Big 12),13,7-6,904,4785,5.29,32,368.1
Southern Miss. (C-USA),11,6-5,788,4044,5.13,30,367.6
BYU (FBS Independent),13,7-6,856,4744,5.54,45,364.9
Western Ky. (C-USA),12,3-9,870,4364,5.02,30,363.7
Florida St. (ACC),12,5-7,847,4334,5.12,31,361.2
Kentucky (SEC),13,10-3,832,4691,5.64,41,360.8
Miami (FL) (ACC),13,7-6,835,4664,5.59,44,358.8
South Alabama (Sun Belt),12,3-9,810,4263,5.26,36,355.3
Bowling Green (MAC),12,3-9,822,4263,5.19,38,355.3
Northwestern (Big Ten),14,9-5,1046,4961,4.74,42,354.4
Louisville (ACC),12,2-10,797,4231,5.31,28,352.6
Kansas (Big 12),12,3-9,815,4210,5.17,32,350.8
Navy (AAC),13,3-10,861,4536,5.27,42,348.9
San Diego St. (Mountain West),13,7-6,831,4535,5.46,30,348.8
Ga. Southern (Sun Belt),13,10-3,760,4488,5.91,45,345.2
Kansas St. (Big 12),12,5-7,797,4136,5.19,31,344.7
California (Pac-12),13,7-6,910,4466,4.91,29,343.5
Charlotte (C-USA),12,5-7,830,4117,4.96,28,343.1
Michigan St. (Big Ten),13,7-6,962,4447,4.62,26,342.1
Arkansas (SEC),12,2-10,810,4028,4.97,28,335.7
Wyoming (Mountain West),12,6-6,771,3969,5.15,27,330.8
New Mexico (Mountain West),12,3-9,793,3965,5.00,38,330.4
Texas St. (Sun Belt),12,3-9,778,3963,5.09,30,330.3
Tennessee (SEC),12,5-7,716,3906,5.46,30,325.5
San Jose St. (Mountain West),12,1-11,805,3884,4.82,29,323.7
NIU (MAC),14,8-6,998,4512,4.52,32,322.3
Rice (C-USA),13,2-11,858,4139,4.82,28,318.4
UTEP (C-USA),12,1-11,751,3692,4.92,27,307.7
Akron (MAC),12,4-8,764,3533,4.62,21,294.4
Rutgers (Big Ten),12,1-11,772,3195,4.14,17,266.3
Central Mich. (MAC),12,1-11,809,3056,3.78,18,254.7
UTSA (C-USA),12,3-9,758,2965,3.91,16,247.1
Liberty (FBS Independent),12,6-6,935,5075,5.43,51,422.9
