Team,Games,Win-Loss,Time of Possession,Average Time of Possession per Game
Wisconsin (Big Ten),7,4-3,254:23,36:20
Rice (C-USA),5,2-3,179:58,36:00
Texas A&M (SEC),10,9-1,348:06,34:49
Charlotte (C-USA),6,2-4,205:45,34:18
Minnesota (Big Ten),7,3-4,239:22,34:12
Army West Point (FBS Independent),12,9-3,409:35,34:08
Notre Dame (ACC),12,10-2,407:09,33:56
Coastal Carolina (Sun Belt),12,11-1,405:55,33:50
Penn St. (Big Ten),9,4-5,303:10,33:41
NIU (MAC),6,0-6,201:54,33:39
Toledo (MAC),6,4-2,200:57,33:30
Utah (Pac-12),5,3-2,166:39,33:20
Ga. Southern (Sun Belt),13,8-5,433:05,33:19
Iowa St. (Big 12),12,9-3,396:54,33:04
Liberty (FBS Independent),11,10-1,362:36,32:58
UTEP (C-USA),8,3-5,261:31,32:41
Air Force (Mountain West),6,3-3,195:00,32:30
UAB (C-USA),9,6-3,291:58,32:26
Ohio St. (Big Ten),8,7-1,258:34,32:19
Oklahoma (Big 12),11,9-2,355:18,32:18
App State (Sun Belt),12,9-3,387:30,32:18
San Diego St. (Mountain West),8,4-4,258:02,32:15
Temple (AAC),7,1-6,225:46,32:15
Cincinnati (AAC),10,9-1,319:59,32:00
West Virginia (Big 12),10,6-4,319:59,32:00
Washington (Pac-12),4,3-1,127:27,31:52
Stanford (Pac-12),6,4-2,191:03,31:51
Nevada (Mountain West),9,7-2,284:55,31:39
Fresno St. (Mountain West),6,3-3,189:46,31:38
California (Pac-12),4,1-3,126:24,31:36
Colorado (Pac-12),6,4-2,189:22,31:34
Louisville (ACC),11,4-7,346:34,31:30
Washington St. (Pac-12),4,1-3,125:50,31:28
LSU (SEC),10,5-5,314:04,31:24
Oklahoma St. (Big 12),11,8-3,344:35,31:20
Houston (AAC),8,3-5,250:20,31:18
Indiana (Big Ten),8,6-2,250:04,31:16
Northwestern (Big Ten),9,7-2,280:57,31:13
Pittsburgh (ACC),11,6-5,342:35,31:09
East Carolina (AAC),9,3-6,279:43,31:05
Virginia (ACC),10,5-5,310:38,31:04
Kentucky (SEC),11,5-6,341:40,31:04
Boston College (ACC),11,6-5,341:03,31:00
Mississippi St. (SEC),11,4-7,340:35,30:58
Alabama (SEC),13,13-0,401:58,30:55
North Carolina (ACC),12,8-4,370:16,30:51
Missouri (SEC),10,5-5,307:54,30:47
Kansas (Big 12),9,0-9,276:58,30:46
Buffalo (MAC),7,6-1,214:58,30:43
Wyoming (Mountain West),6,2-4,184:07,30:41
Akron (MAC),6,1-5,183:27,30:35
Florida St. (ACC),9,3-6,274:55,30:33
New Mexico (Mountain West),7,2-5,213:44,30:32
Virginia Tech (ACC),11,5-6,335:49,30:32
Florida (SEC),12,8-4,366:01,30:30
Clemson (ACC),12,10-2,365:25,30:27
Navy (AAC),10,3-7,304:15,30:26
South Alabama (Sun Belt),11,4-7,334:06,30:22
Louisiana Tech (C-USA),10,5-5,301:53,30:11
TCU (Big 12),10,6-4,301:27,30:09
Georgia (SEC),10,8-2,301:24,30:08
Southern California (Pac-12),6,5-1,180:36,30:06
Kent St. (MAC),4,3-1,120:04,30:01
BYU (FBS Independent),12,11-1,359:25,29:57
Ball St. (MAC),8,7-1,239:09,29:54
Marshall (C-USA),10,7-3,298:24,29:50
Vanderbilt (SEC),9,0-9,267:19,29:42
UTSA (C-USA),12,7-5,356:21,29:42
SMU (AAC),10,7-3,295:57,29:36
Middle Tenn. (C-USA),9,3-6,265:55,29:33
San Jose St. (Mountain West),8,7-1,235:41,29:28
Boise St. (Mountain West),7,5-2,205:34,29:22
South Carolina (SEC),10,2-8,293:27,29:21
Baylor (Big 12),9,2-7,263:52,29:19
UNLV (Mountain West),6,0-6,175:47,29:18
Iowa (Big Ten),8,6-2,233:55,29:14
Eastern Mich. (MAC),6,2-4,175:14,29:12
Ohio (MAC),3,2-1,87:28,29:09
Southern Miss. (C-USA),10,3-7,291:01,29:06
Western Ky. (C-USA),12,5-7,348:15,29:01
Fla. Atlantic (C-USA),9,5-4,261:10,29:01
Arizona St. (Pac-12),4,2-2,116:04,29:01
Kansas St. (Big 12),10,4-6,290:07,29:01
Central Mich. (MAC),6,3-3,173:47,28:58
UCLA (Pac-12),7,3-4,202:06,28:52
Georgia St. (Sun Belt),10,6-4,288:41,28:52
Memphis (AAC),11,8-3,316:46,28:48
Hawaii (Mountain West),9,5-4,258:37,28:44
Miami (OH) (MAC),3,2-1,86:11,28:44
Auburn (SEC),11,6-5,316:00,28:44
Tulsa (AAC),9,6-3,258:25,28:43
Nebraska (Big Ten),8,3-5,229:36,28:42
NC State (ACC),12,8-4,344:21,28:42
Arkansas St. (Sun Belt),11,4-7,315:37,28:42
Tulane (AAC),12,6-6,343:38,28:38
Duke (ACC),11,2-9,314:14,28:34
Louisiana (Sun Belt),11,10-1,313:05,28:28
South Fla. (AAC),9,1-8,256:07,28:27
Western Mich. (MAC),6,4-2,169:31,28:15
Rutgers (Big Ten),9,3-6,253:23,28:09
Arizona (Pac-12),5,0-5,140:06,28:01
Oregon St. (Pac-12),7,2-5,195:41,27:57
Tennessee (SEC),10,3-7,279:26,27:57
Wake Forest (ACC),9,4-5,250:48,27:52
Ole Miss (SEC),10,5-5,278:34,27:51
Texas (Big 12),10,7-3,277:59,27:48
Miami (FL) (ACC),11,8-3,304:40,27:42
Purdue (Big Ten),6,2-4,165:35,27:36
UCF (AAC),10,6-4,275:03,27:30
Illinois (Big Ten),8,2-6,219:27,27:26
ULM (Sun Belt),10,0-10,272:44,27:16
Michigan St. (Big Ten),7,2-5,190:13,27:10
Georgia Tech (ACC),10,3-7,270:53,27:05
Texas Tech (Big 12),10,4-6,270:35,27:03
Troy (Sun Belt),11,5-6,295:45,26:53
Bowling Green (MAC),5,0-5,132:02,26:24
FIU (C-USA),5,0-5,131:00,26:12
Oregon (Pac-12),7,4-3,183:14,26:11
Utah St. (Mountain West),6,1-5,155:35,25:56
Texas St. (Sun Belt),12,2-10,310:04,25:50
Colorado St. (Mountain West),4,1-3,103:06,25:47
North Texas (C-USA),10,4-6,256:15,25:38
Michigan (Big Ten),6,2-4,153:44,25:37
Maryland (Big Ten),5,2-3,126:54,25:23
Arkansas (SEC),10,3-7,252:49,25:17
Massachusetts (FBS Independent),4,0-4,100:59,25:15
Syracuse (ACC),11,1-10,267:12,24:17
