3rd Down Def Rank,Team,Games,Win-Loss,Opp 3rd Conversion,Opp 3rd Attempt,Opponent 3rd Percent
1,Marshall (Sun Belt),12,8-4,41,175,0.234
2,Minnesota (Big Ten),12,8-4,39,149,0.262
3,Georgia (SEC),13,13-0,47,176,0.267
4,Oklahoma St. (Big 12),12,7-5,50,185,0.27
5,James Madison (Sun Belt),11,8-3,44,155,0.284
6,Iowa St. (Big 12),12,4-8,45,156,0.288
7,Illinois (Big Ten),12,8-4,49,169,0.29
8,Alabama (SEC),12,10-2,53,180,0.294
9,Utah (Pac-12),13,10-3,45,152,0.296
10,Boise St. (Mountain West),13,9-4,54,182,0.297
11,South Alabama (Sun Belt),12,10-2,49,163,0.301
12,Air Force (Mountain West),12,9-3,39,129,0.302
13,Ohio St. (Big Ten),12,11-1,54,177,0.305
14,Penn St. (Big Ten),12,10-2,56,183,0.306
15,Massachusetts (FBS Independent),12,1-11,43,139,0.309
16,NC State (ACC),12,8-4,53,171,0.31
17,Pittsburgh (ACC),12,8-4,53,170,0.312
18,Western Mich. (MAC),12,5-7,50,158,0.316
19,Liberty (FBS Independent),12,8-4,56,175,0.32
20,Michigan (Big Ten),13,13-0,59,182,0.324
21,Iowa (Big Ten),12,7-5,62,191,0.325
22,Purdue (Big Ten),13,8-5,58,177,0.328
23,Central Mich. (MAC),12,4-8,60,182,0.33
24,Wisconsin (Big Ten),12,6-6,55,166,0.331
25,Kansas St. (Big 12),13,10-3,62,184,0.337
26,Florida St. (ACC),12,9-3,55,163,0.337
27,Toledo (MAC),13,8-5,72,213,0.338
28,Mississippi St. (SEC),12,8-4,58,171,0.339
28,Missouri (SEC),12,6-6,58,171,0.339
28,Tennessee (SEC),12,10-2,58,171,0.339
31,Rutgers (Big Ten),12,4-8,58,170,0.341
32,New Mexico (Mountain West),12,2-10,57,167,0.341
33,Virginia Tech (ACC),11,3-8,56,164,0.341
34,Buffalo (MAC),12,6-6,54,158,0.342
35,Stanford (Pac-12),12,3-9,53,155,0.342
36,Louisville (ACC),12,7-5,55,159,0.346
37,UTEP (C-USA),12,5-7,49,141,0.348
38,Tulane (AAC),13,11-2,72,207,0.348
39,Western Ky. (C-USA),13,8-5,68,194,0.351
40,Akron (MAC),12,2-10,57,162,0.352
41,TCU (Big 12),13,12-1,68,193,0.352
42,Texas St. (Sun Belt),12,4-8,62,175,0.354
43,Kentucky (SEC),12,7-5,57,160,0.356
44,Texas A&M (SEC),12,5-7,62,174,0.356
45,Navy (AAC),12,4-8,55,154,0.357
46,Clemson (ACC),13,11-2,66,183,0.361
47,Temple (AAC),12,3-9,63,174,0.362
48,Fla. Atlantic (C-USA),12,5-7,57,157,0.363
49,Arkansas St. (Sun Belt),12,3-9,63,173,0.364
50,Notre Dame (FBS Independent),12,8-4,56,153,0.366
51,Southern Miss. (Sun Belt),12,6-6,67,183,0.366
52,Tulsa (AAC),12,5-7,66,180,0.367
53,Fresno St. (Mountain West),13,9-4,69,188,0.367
54,San Diego St. (Mountain West),12,7-5,61,166,0.367
55,Virginia (ACC),10,3-7,57,154,0.37
56,Boston College (ACC),12,3-9,60,162,0.37
57,Washington St. (Pac-12),12,7-5,62,167,0.371
58,UCF (AAC),13,9-4,67,180,0.372
59,UNLV (Mountain West),12,5-7,60,161,0.373
60,New Mexico St. (FBS Independent),12,6-6,63,168,0.375
61,Cincinnati (AAC),12,9-3,72,191,0.377
62,Wyoming (Mountain West),12,7-5,66,175,0.377
63,Colorado St. (Mountain West),12,3-9,62,164,0.378
64,SMU (AAC),12,7-5,67,177,0.379
65,Georgia Tech (ACC),12,5-7,66,171,0.386
66,Texas Tech (Big 12),12,7-5,73,189,0.386
67,Army West Point (FBS Independent),12,6-6,55,142,0.387
68,Ole Miss (SEC),12,8-4,69,178,0.388
69,Ohio (MAC),13,9-4,64,165,0.388
70,Miami (OH) (MAC),12,6-6,68,175,0.389
71,UTSA (C-USA),13,11-2,76,195,0.39
72,Oregon St. (Pac-12),12,9-3,64,164,0.39
73,California (Pac-12),12,4-8,66,169,0.391
74,San Jose St. (Mountain West),11,7-4,61,156,0.391
75,Kent St. (MAC),12,5-7,71,180,0.394
75,Middle Tenn. (C-USA),12,7-5,71,180,0.394
77,Hawaii (Mountain West),13,3-10,62,157,0.395
78,Ball St. (MAC),12,5-7,79,200,0.395
79,Texas (Big 12),12,8-4,77,194,0.397
80,Vanderbilt (SEC),12,5-7,60,151,0.397
81,Syracuse (ACC),12,7-5,65,163,0.399
82,Maryland (Big Ten),12,7-5,72,180,0.4
83,UCLA (Pac-12),12,9-3,65,162,0.401
84,Troy (Sun Belt),13,11-2,78,193,0.404
85,Utah St. (Mountain West),12,6-6,70,173,0.405
86,LSU (SEC),13,9-4,74,182,0.407
87,Louisiana (Sun Belt),12,6-6,72,177,0.407
88,Ga. Southern (Sun Belt),12,6-6,68,167,0.407
89,West Virginia (Big 12),12,5-7,66,162,0.407
90,Oklahoma (Big 12),12,6-6,80,196,0.408
91,Old Dominion (Sun Belt),12,3-9,77,187,0.412
92,Wake Forest (ACC),12,7-5,75,182,0.412
93,North Carolina (ACC),13,9-4,73,177,0.412
94,Memphis (AAC),12,6-6,74,178,0.416
95,UAB (C-USA),12,6-6,73,175,0.417
96,Georgia St. (Sun Belt),12,4-8,68,163,0.417
96,South Carolina (SEC),12,8-4,68,163,0.417
98,Northwestern (Big Ten),12,1-11,69,165,0.418
99,Coastal Carolina (Sun Belt),12,9-3,64,153,0.418
100,Miami (FL) (ACC),12,5-7,68,162,0.42
101,App State (Sun Belt),12,6-6,71,168,0.423
102,Nevada (Mountain West),12,2-10,74,175,0.423
103,East Carolina (AAC),12,7-5,69,163,0.423
104,Nebraska (Big Ten),12,4-8,75,177,0.424
105,Rice (C-USA),12,5-7,64,151,0.424
106,Indiana (Big Ten),12,4-8,78,184,0.424
107,UConn (FBS Independent),12,6-6,67,158,0.424
108,Auburn (SEC),12,5-7,76,179,0.425
109,ULM (Sun Belt),12,4-8,73,171,0.427
110,Eastern Mich. (MAC),12,8-4,70,163,0.429
111,Louisiana Tech (C-USA),12,3-9,71,165,0.43
112,Southern California (Pac-12),13,11-2,70,162,0.432
113,Michigan St. (Big Ten),12,5-7,77,177,0.435
114,Duke (ACC),12,8-4,72,165,0.436
115,NIU (MAC),12,3-9,72,164,0.439
116,Arkansas (SEC),12,6-6,77,174,0.443
117,Houston (AAC),12,7-5,74,167,0.443
118,Charlotte (C-USA),12,3-9,64,144,0.444
119,Washington (Pac-12),12,10-2,75,167,0.449
120,BYU (FBS Independent),12,7-5,72,160,0.45
121,Baylor (Big 12),12,6-6,73,161,0.453
122,Bowling Green (MAC),12,6-6,83,183,0.454
123,North Texas (C-USA),13,7-6,94,203,0.463
124,Kansas (Big 12),12,6-6,84,179,0.469
125,Arizona (Pac-12),12,5-7,64,134,0.478
126,Oregon (Pac-12),12,9-3,76,158,0.481
127,Florida (SEC),12,6-6,80,163,0.491
128,Arizona St. (Pac-12),12,3-9,82,166,0.494
129,FIU (C-USA),12,4-8,90,182,0.495
130,South Fla. (AAC),12,1-11,73,145,0.503
131,Colorado (Pac-12),12,1-11,76,143,0.531
